fecha,timestamp_maximo,hora,estacion_maximo,valor_original_ppb,bit,delta_ppb,valor_recibido_ppb,banda_original,banda_recibida,cambio_banda,contingencia_real_fase1,falsa_fase1,anulada_fase1,cruce_fase2_instantaneo,anulacion_fase2_instantanea,en_test_lstm
2025-02-14,2025-02-14 15:00:00,15,PED,114,3,8,122,2,2,0,0,0,0,0,0,False
2025-02-14,2025-02-14 15:00:00,15,PED,114,4,16,98,2,2,0,0,0,0,0,0,False
2025-02-14,2025-02-14 15:00:00,15,PED,114,5,32,82,2,1,1,0,0,0,0,0,False
2025-02-14,2025-02-14 15:00:00,15,PED,114,6,64,50,2,0,1,0,0,0,0,0,False
2025-02-14,2025-02-14 15:00:00,15,PED,114,7,128,242,2,4,1,0,1,0,1,0,False
2025-02-15,2025-02-15 15:00:00,15,UIZ,112,3,8,120,2,2,0,0,0,0,0,0,False
2025-02-15,2025-02-15 15:00:00,15,UIZ,112,4,16,96,2,2,0,0,0,0,0,0,False
2025-02-15,2025-02-15 15:00:00,15,UIZ,112,5,32,80,2,1,1,0,0,0,0,0,False
2025-02-15,2025-02-15 15:00:00,15,UIZ,112,6,64,48,2,0,1,0,0,0,0,0,False
2025-02-15,2025-02-15 15:00:00,15,UIZ,112,7,128,240,2,4,1,0,1,0,1,0,False
2025-02-16,2025-02-16 15:00:00,15,AJU,100,3,8,108,2,2,0,0,0,0,0,0,False
2025-02-16,2025-02-16 15:00:00,15,AJU,100,4,16,116,2,2,0,0,0,0,0,0,False
2025-02-16,2025-02-16 15:00:00,15,AJU,100,5,32,68,2,1,1,0,0,0,0,0,False
2025-02-16,2025-02-16 15:00:00,15,AJU,100,6,64,36,2,0,1,0,0,0,0,0,False
2025-02-16,2025-02-16 15:00:00,15,AJU,100,7,128,228,2,4,1,0,1,0,1,0,False
2025-02-17,2025-02-17 15:00:00,15,CCA,101,3,8,109,2,2,0,0,0,0,0,0,False
2025-02-17,2025-02-17 15:00:00,15,CCA,101,4,16,117,2,2,0,0,0,0,0,0,False
2025-02-17,2025-02-17 15:00:00,15,CCA,101,5,32,69,2,1,1,0,0,0,0,0,False
2025-02-17,2025-02-17 15:00:00,15,CCA,101,6,64,37,2,0,1,0,0,0,0,0,False
2025-02-17,2025-02-17 15:00:00,15,CCA,101,7,128,229,2,4,1,0,1,0,1,0,False
2025-02-18,2025-02-18 14:00:00,14,GAM,99,3,8,107,2,2,0,0,0,0,0,0,False
2025-02-18,2025-02-18 14:00:00,14,GAM,99,4,16,115,2,2,0,0,0,0,0,0,False
2025-02-18,2025-02-18 14:00:00,14,GAM,99,5,32,67,2,1,1,0,0,0,0,0,False
2025-02-18,2025-02-18 14:00:00,14,GAM,99,6,64,35,2,0,1,0,0,0,0,0,False
2025-02-18,2025-02-18 14:00:00,14,GAM,99,7,128,227,2,4,1,0,1,0,1,0,False
2025-02-19,2025-02-19 17:00:00,17,MPA,42,3,8,34,0,0,0,0,0,0,0,0,False
2025-02-19,2025-02-19 17:00:00,17,MPA,42,4,16,58,0,0,0,0,0,0,0,0,False
2025-02-19,2025-02-19 17:00:00,17,MPA,42,5,32,10,0,0,0,0,0,0,0,0,False
2025-02-19,2025-02-19 17:00:00,17,MPA,42,6,64,106,0,2,1,0,0,0,0,0,False
2025-02-19,2025-02-19 17:00:00,17,MPA,42,7,128,170,0,3,1,0,1,0,0,0,False
2025-02-20,2025-02-20 14:00:00,14,TLI,90,3,8,82,1,1,0,0,0,0,0,0,False
2025-02-20,2025-02-20 14:00:00,14,TLI,90,4,16,74,1,1,0,0,0,0,0,0,False
2025-02-20,2025-02-20 14:00:00,14,TLI,90,5,32,122,1,2,1,0,0,0,0,0,False
2025-02-20,2025-02-20 14:00:00,14,TLI,90,6,64,26,1,0,1,0,0,0,0,0,False
2025-02-20,2025-02-20 14:00:00,14,TLI,90,7,128,218,1,4,1,0,1,0,1,0,False
2025-02-21,2025-02-21 13:00:00,13,GAM,82,3,8,90,1,1,0,0,0,0,0,0,False
2025-02-21,2025-02-21 13:00:00,13,GAM,82,4,16,66,1,1,0,0,0,0,0,0,False
2025-02-21,2025-02-21 13:00:00,13,GAM,82,5,32,114,1,2,1,0,0,0,0,0,False
