estacion,bit,delta_ppb,umbral_p95_ppb,n_ataques,n_dano_banda,n_detectados,n_dano_detectado,n_dano_no_detectado,pct_dano,pct_dano_detectado,pct_dano_no_detectado,dias_disponibles,dias_vulnerables,dias_no_detectados,pct_dias_vulnerables,pct_dias_dano_no_detectado,falsas_fase1,anuladas_fase1,cruces_fase2_arriba,cruces_fase2_abajo
MER,3,8,29.858192443847656,1601,126,91,15,111,7.8700811992504685,11.904761904761905,88.0952380952381,70,56,52,80.0,74.28571428571429,0,0,0,0
MER,4,16,29.858192443847656,1601,122,131,25,97,7.6202373516552155,20.491803278688526,79.50819672131148,70,52,49,74.28571428571429,70.0,0,0,0,0
MER,5,32,29.858192443847656,1601,257,1206,186,71,16.052467207995004,72.37354085603113,27.626459143968873,70,62,45,88.57142857142857,64.28571428571429,0,0,0,0
MER,6,64,29.858192443847656,1601,1601,1565,1565,36,100.0,97.75140537164272,2.2485946283572766,70,69,13,98.57142857142857,18.571428571428573,0,0,0,0
MER,7,128,29.858192443847656,1601,1601,1601,1601,0,100.0,100.0,0.0,70,69,0,98.57142857142857,0.0,494,0,121,0
MGH,3,8,14.794473648071289,1385,119,432,59,60,8.592057761732852,49.57983193277311,50.42016806722689,61,49,35,80.32786885245902,57.377049180327866,0,0,0,0
MGH,4,16,14.794473648071289,1385,112,827,71,41,8.086642599277978,63.392857142857146,36.607142857142854,61,50,30,81.9672131147541,49.18032786885246,0,0,0,0
MGH,5,32,14.794473648071289,1385,285,1256,221,64,20.577617328519857,77.54385964912281,22.45614035087719,61,59,32,96.72131147540983,52.459016393442624,3,0,0,0
MGH,6,64,14.794473648071289,1385,1385,1370,1370,15,100.0,98.91696750902527,1.0830324909747293,61,61,10,100.0,16.39344262295082,3,0,0,0
MGH,7,128,14.794473648071289,1385,1385,1385,1385,0,100.0,100.0,0.0,61,61,0,100.0,0.0,506,0,146,0
MPA,3,8,19.469261169433594,762,104,201,38,66,13.648293963254593,36.53846153846154,63.46153846153846,34,30,30,88.23529411764706,88.23529411764706,0,0,0,0
MPA,4,16,19.469261169433594,762,124,358,60,64,16.27296587926509,48.38709677419355,51.61290322580645,34,31,25,91.17647058823529,73.52941176470588,0,0,0,0
MPA,5,32,19.469261169433594,762,251,596,201,50,32.93963254593176,80.0796812749004,19.9203187250996,34,33,18,97.05882352941177,52.94117647058823,2,0,0,0
MPA,6,64,19.469261169433594,762,762,752,752,10,100.0,98.68766404199475,1.3123359580052494,34,34,5,100.0,14.705882352941176,2,0,1,0
MPA,7,128,19.469261169433594,762,762,762,762,0,100.0,100.0,0.0,34,34,0,100.0,0.0,581,0,86,0
NEZ,3,8,15.32272720336914,1160,96,370,49,47,8.275862068965518,51.041666666666664,48.958333333333336,51,39,27,76.47058823529412,52.94117647058823,0,0,0,0
NEZ,4,16,15.32272720336914,1160,103,664,65,38,8.879310344827585,63.10679611650485,36.89320388349515,51,43,26,84.31372549019608,50.98039215686274,0,0,0,0
NEZ,5,32,15.32272720336914,1160,269,1065,238,31,23.189655172413794,88.47583643122677,11.524163568773234,51,49,18,96.07843137254902,35.294117647058826,1,0,0,0
NEZ,6,64,15.32272720336914,1160,1160,1148,1148,12,100.0,98.96551724137932,1.0344827586206897,51,51,6,100.0,11.764705882352942,1,0,0,0
NEZ,7,128,15.32272720336914,1160,1160,1160,1160,0,100.0,100.0,0.0,51,51,0,100.0,0.0,472,0,133,0
PED,3,8,20.090120315551758,1682,146,337,49,97,8.680142687277051,33.56164383561644,66.43835616438356,73,59,51,80.82191780821918,69.86301369863014,0,0,0,0
PED,4,16,20.090120315551758,1682,175,589,79,96,10.404280618311534,45.142857142857146,54.857142857142854,73,64,54,87.67123287671232,73.97260273972603,0,0,0,0
PED,5,32,20.090120315551758,1682,431,1413,321,110,25.62425683709869,74.47795823665894,25.52204176334107,73,71,48,97.26027397260275,65.75342465753425,5,0,0,0
PED,6,64,20.090120315551758,1682,1682,1674,1674,8,100.0,99.5243757431629,0.4756242568370987,73,72,5,98.63013698630137,6.8493150684931505,5,0,0,0
PED,7,128,20.090120315551758,1682,1682,1682,1682,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,743,0,210,0
SAC,3,8,19.09607696533203,1430,161,338,80,81,11.258741258741258,49.68944099378882,50.31055900621118,62,54,42,87.09677419354838,67.74193548387096,0,0,0,0
